,Station,Year,Month,Day,Julian,Min.Temp,Max.Temp,radiation,total_pp,Precip.,wind.speed,vap,co2,Date,GDD,GDDcum,precip_cum,rad_cum,GDDcum_gs,precip_gs,rad_gs
8761,SUMMERSIDE_A,1984,1,1,1,-8.8,-4.6,3.2,-999.9,0.2,29.5,2.8,330,1984-01-01,0,0,0.2,3.2,0,0,0
8762,SUMMERSIDE_A,1984,1,2,2,-9.7,-5.5,3.3,-999.9,0,9.5,2.6,330,1984-01-02,0,0,0.2,6.5,0,0,0
8763,SUMMERSIDE_A,1984,1,3,3,-9.3,-4.9,3.4,-999.9,0,17,2.6,330,1984-01-03,0,0,0.2,9.9,0,0,0
8764,SUMMERSIDE_A,1984,1,4,4,-7.7,1.5,4.9,-999.9,0,28.3,4,330,1984-01-04,0,0,0.2,14.8,0,0,0
8765,SUMMERSIDE_A,1984,1,5,5,-1.4,1.9,2.9,-999.9,0,13.5,5.8,330,1984-01-05,0,0,0.2,17.7,0,0,0
8766,SUMMERSIDE_A,1984,1,6,6,-0.3,2.1,2.5,-999.9,5.8,5.3,6.4,330,1984-01-06,0,0,6,20.2,0,0,0
8767,SUMMERSIDE_A,1984,1,7,7,-0.9,1.3,2.4,-999.9,2.4,8.3,6.2,330,1984-01-07,0,0,8.4,22.6,0,0,0
8768,SUMMERSIDE_A,1984,1,8,8,-5.3,-0.1,3.8,-999.9,10.6,33.2,4.8,330,1984-01-08,0,0,19,26.4,0,0,0
8769,SUMMERSIDE_A,1984,1,9,9,-13.2,-4.3,5,-999.9,2.4,24.5,2.8,330,1984-01-09,0,0,21.4,31.4,0,0,0
8770,SUMMERSIDE_A,1984,1,10,10,-13.4,-2.2,5.6,-999.9,14.4,16,3,330,1984-01-10,0,0,35.8,37,0,0,0
8771,SUMMERSIDE_A,1984,1,11,11,-17.8,-2.6,6.6,-999.9,14,39.2,2.6,330,1984-01-11,0,0,49.8,43.6,0,0,0
8772,SUMMERSIDE_A,1984,1,12,12,-20.5,-16.4,3.5,-999.9,0,20.5,1.2,330,1984-01-12,0,0,49.8,47.1,0,0,0
8773,SUMMERSIDE_A,1984,1,13,13,-21.7,-14.1,4.8,-999.9,0,12.7,1.2,330,1984-01-13,0,0,49.8,51.9,0,0,0
